Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9805497423632239,0.9906627641809269,0.9702442713187838,0.9803472111164419
Decision Tree,0.99847000685859,0.9979795850243328,0.9989624184443311,0.9984707598741452
Random Forest,0.9998417248474404,0.9997011199212363,0.9999824138719379,0.9998417471118848
Linear SVM,0.9765752774211702,0.9907285008058236,0.9621546524101788,0.9762325357314919
